stats_o/std,stats_g/mean,stats_g/std,train/success_rate,train/episode,stats_o/mean,test/mean_Q,epoch,test/success_rate,test/episode
0.923837,0.36731243,0.21696888,0.0016666666666666668,20300.0,0.2097056,-53.59566,203,0.012500000000000002,4060.0
0.92382234,0.36731267,0.216976,0.0,20400.0,0.20970465,-54.283405,204,0.037500000000000006,4080.0
0.9238064,0.367314,0.2169803,0.0,20500.0,0.20970444,-54.22548,205,0.016666666666666666,4100.0
0.9237902,0.36731505,0.21698344,0.0008333333333333334,20600.0,0.20970432,-52.884674,206,0.020833333333333332,4120.0
0.9237745,0.3673161,0.21698917,0.0,20700.0,0.20970492,-54.32492,207,0.008333333333333333,4140.0
0.92375803,0.36731806,0.21699302,0.0008333333333333334,20800.0,0.20970513,-55.45099,208,0.008333333333333333,4160.0
0.9237445,0.3673202,0.21699764,0.0016666666666666668,20900.0,0.20970647,-54.81137,209,0.008333333333333333,4180.0
0.9237287,0.36732182,0.2170019,0.0016666666666666668,21000.0,0.20970722,-55.020435,210,0.029166666666666664,4200.0
0.92371243,0.36732316,0.21700649,0.0008333333333333334,21100.0,0.20970742,-56.32091,211,0.004166666666666667,4220.0
0.9236955,0.36732492,0.21701269,0.0025,21200.0,0.20970805,-55.749348,212,0.0,4240.0
0.92367893,0.3673261,0.2170188,0.0016666666666666668,21300.0,0.2097091,-57.343983,213,0.012500000000000002,4260.0
0.9236625,0.36732808,0.21702226,0.0008333333333333334,21400.0,0.2097093,-54.63338,214,0.012500000000000002,4280.0
0.92364717,0.3673304,0.21702723,0.0016666666666666668,21500.0,0.20970936,-58.644558,215,0.0,4300.0
0.9236322,0.3673328,0.21703021,0.0008333333333333334,21600.0,0.20970957,-58.99245,216,0.012500000000000002,4320.0
0.92361456,0.3673344,0.21703534,0.0008333333333333334,21700.0,0.20970921,-57.23337,217,0.016666666666666666,4340.0
0.923598,0.3673357,0.21703923,0.0025,21800.0,0.20970924,-57.17391,218,0.016666666666666666,4360.0
0.92358226,0.3673372,0.21704327,0.0,21900.0,0.20970969,-57.89131,219,0.004166666666666667,4380.0
0.9235652,0.36733755,0.21704616,0.0025,22000.0,0.20971031,-58.294483,220,0.004166666666666667,4400.0
0.9235478,0.3673387,0.21705027,0.0033333333333333335,22100.0,0.20971006,-57.662994,221,0.016666666666666666,4420.0
0.9235318,0.36734018,0.2170523,0.0016666666666666668,22200.0,0.20970957,-60.048817,222,0.008333333333333333,4440.0
0.9235139,0.36734214,0.2170543,0.0025,22300.0,0.20970984,-57.682514,223,0.012500000000000002,4460.0
0.92349786,0.367344,0.21705665,0.0016666666666666668,22400.0,0.2097105,-59.88556,224,0.0,4480.0
0.92348194,0.36734447,0.217061,0.0008333333333333334,22500.0,0.20971124,-58.454605,225,0.008333333333333333,4500.0
0.92346436,0.3673447,0.21706264,0.0016666666666666668,22600.0,0.20971142,-59.018757,226,0.025000000000000005,4520.0
0.9234483,0.36734572,0.21706541,0.0,22700.0,0.2097115,-59.496838,227,0.016666666666666666,4540.0
0.92343336,0.36734638,0.21707083,0.0016666666666666668,22800.0,0.2097122,-59.83317,228,0.004166666666666667,4560.0
